Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 08:31:20,8.8,13.90,78.0,7551,3161
2025-12-19 08:31:26,35.82,35.69,28.48,7381,3030
2025-12-19 08:31:32,8.98,16.63,74.37,7521,3097
2025-12-19 08:31:38,2.70,13.92,83.36,7531,3000
2025-12-19 08:31:44,15.95,24.18,59.86,7503,3499
2025-12-19 08:31:49,3.80,13.49,82.69,7530,3360
2025-12-19 08:31:55,2.68,11.49,85.82,7567,3401
2025-12-19 08:32:01,11.96,32.36,55.67,7531,3408
2025-12-19 08:32:07,8.55,17.11,74.33,7540,3121
2025-12-19 08:32:13,5.18,22.96,71.85,7510,3243
2025-12-19 08:32:18,5.82,15.41,78.75,7558,2966
2025-12-19 08:32:24,14.17,32.68,53.14,7531,3314
2025-12-19 08:32:30,6.0,15.94,78.4,7510,3120
2025-12-19 08:32:36,3.81,11.45,84.73,7507,3545
2025-12-19 08:32:41,21.72,18.31,59.96,7534,3517
2025-12-19 08:32:47,22.48,27.72,49.78,7513,3484
2025-12-19 08:32:53,4.37,14.25,81.36,7554,3415
2025-12-19 08:32:59,4.35,12.87,82.76,7563,3475
2025-12-19 08:33:05,6.65,20.68,72.66,7540,3582
